"State.Name","latitude","longitude"
"ANDAMAN AND NICOBAR    ",11.66702557,92.73598262
"ANDHRA PRADESH     ",14.7504291,78.57002559
"ARUNACHAL PRADESH    ",27.10039878,93.61660071
"ASSAM    ",26.7499809,94.21666744
"BIHAR    ",25.78541445,87.4799727
"CHANDIGARH    ",30.71999697,76.78000565
"CHHATTISGARH    ",22.09042035,82.15998734
"DADRA AND NAGAR HAVELI AND DAMAN AND DIU",20.26657819,73.0166178
"DELHI    ",28.6699929,77.23000403
"GOA    ",15.491997,73.81800065
"GUJARAT     ",22.309425,72.13623
"HARYANA     ",28.45000633,77.01999101
"HIMACHAL PRADESH    ",31.10002545,77.16659704
"JAMMU AND KASHMIR    ",33.8137,75.1973
"JHARKHAND    ",23.80039349,86.41998572
"KARNATAKA     ",12.57038129,76.91999711
"KERALA    ",8.900372741,76.56999263
"LADAKH    ",34.2268,77.5619
"LAKSHADWEEP    ",10.56257331,72.63686717
"MADHYA PRADESH    ",23.2599,77.4126
"MAHARASHTRA     ",19.25023195,73.16017493
"MANIPUR    ",24.79997072,93.95001705
"MEGHALAYA    ",25.57049217,91.8800142
"MIZORAM    ",23.71039899,92.72001461
"NAGALAND    ",25.6669979,94.11657019
"ODISHA    ",19.82042971,85.90001746
"PUDUCHERRY    ",11.9416,79.8083
"PUNJAB    ",31.51997398,75.98000281
"RAJASTHAN     ",26.94999921,73.63998124
"SIKKIM    ",27.3333303,88.6166475
"TAMIL NADU     ",10.5252,78.1198
"TELANGANA     ",18.1124,79.0193
"TRIPURA    ",23.83540428,91.27999914
"UTTAR PRADESH    ",27.59998069,78.05000565
"UTTARAKHAND    ",30.32040895,78.05000565
"WEST BENGAL     ",22.58039044,88.32994665